
Player,Team,Pos,ADP
Chris Tyree,NO,RB192,736.0
Christian Kirk,HOU,WR60,170.8
Christian McCaffrey,SF,RB4,9.4
Christian Watson,GB,WR107,303.0
Chuba Hubbard,CAR,RB18,45.2
Cincinnati Bengals,DST,DST23,196.3
Cleveland Browns,DST,DST24,204.3
Clyde Edwards-Helaire,NO,RB111,382.0
Cody Schrader,LAR,RB184,694.0
Cody White,SEA,WR221,587.0
Colby Parkinson,LAR,TE70,444.0
Cole Fotheringham,NE,TE68,436.0
Cole Kmet,CHI,TE31,240.7
Coleman Owen,IND,WR319,873.0
Collin Johnson,LV,WR277,765.0
Colson Yankoff,WAS,TE124,695.0
Colston Loveland,CHI,TE11,115.0
Connor Heyward,PIT,TE56,394.0
Cooper Kupp,SEA,WR38,88.4
Cooper Rush,BAL,QB52,378.0
Cordarrelle Patterson,,RB152,519.5
Cornelius Johnson,GB,WR298,819.0
Courtland Sutton,DEN,WR23,53.6
Courtney Jackson,DEN,WR262,709.0
Craig Reynolds,DET,RB91,357.0
Curtis Samuel,BUF,WR128,392.5
D'Andre Swift,CHI,RB21,56.8
D'Ernest Johnson,BAL,RB195,764.0
D.J. Montgomery,IND,WR145,421.0
D.J. Williams,,RB141,655.5
DJ Chark Jr.,ATL,WR164,584.0
DJ Giddens,IND,RB65,236.8
DJ Moore,CHI,WR20,48.4
DJ Thomas-Jones,PIT,TE169,900.0
DK Metcalf,PIT,WR21,49.6
Dak Prescott,DAL,QB12,106.2
Dalen Cambre,NYG,WR267,737.0
Dallas Cowboys,DST,DST13,199.0
Dallas Goedert,PHI,TE14,133.4
Dallin Holker,,TE66,619.0
Dalton Kincaid,BUF,TE15,133.6
Dalton Schultz,HOU,TE28,227.5
Dalvin Cook,,RB99,300.0
Dameon Pierce,HOU,RB88,346.5
Damien Harris,,RB113,385.0
Damien Martinez,SEA,RB102,412.5
Daniel Bellinger,NYG,TE58,420.0
Daniel Carlson,LV,K17,224.8
Daniel Jones,IND,QB38,303.5
Dante Miller,NYG,RB180,677.0
Dante Pettis,NO,WR187,471.0
Dare Ogunbowale,HOU,RB140,469.0
Dareke Young,SEA,WR288,796.0
Darius Cooper,PHI,WR269,741.0
Darius Hagans,,RB101,303.0
Darius Slayton,NYG,WR82,268.3
Darnell Mooney,ATL,WR52,131.2
Darnell Washington,PIT,TE48,322.0
Darrell Henderson Jr.,,RB114,386.0
Darren Waller,MIA,TE21,198.0
Darrynton Evans,BUF,RB124,410.0
Davante Adams,LAR,WR16,38.8
David Martin-Robinson,TEN,TE122,690.0
David Montgomery,DET,RB22,59.0
David Moore,CAR,WR141,413.5
David Njoku,CLE,TE9,88.2
Davis Allen,LAR,TE72,450.0
Davis Mills,HOU,QB89,487.0
Dawson Knox,BUF,TE39,246.0
Dayton Wade,BAL,WR299,821.0
De'Von Achane,MIA,RB7,12.2
DeAndre Carter,CLE,WR205,545.0
DeAndre Hopkins,BAL,WR71,187.5
DeMario Douglas,NE,WR72,209.5
DeVonta Smith,PHI,WR24,56.6
DeWayne McBride,,RB103,327.0
Dee Eskridge,MIA,WR283,781.0
DeeJay Dallas,ARI,RB164,590.0
Deebo Samuel Sr.,WAS,WR39,88.6
Deion Hankins,CHI,RB204,857.0
Demarcus Robinson,SF,WR136,402.0
Demetric Felton Jr.,WAS,RB165,598.0
Denver Broncos,DST,DST1,108.8
Deon Cain,BUF,WR273,753.0
Derius Davis,LAC,WR199,508.0
Derrick Henry,BAL,RB5,10.2
Deshaun Watson,CLE,QB41,331.5
Desmond Ridder,CIN,QB84,479.0
Detroit Lions,DST,DST8,167.4
Deuce Vaughn,DAL,RB96,377.0
Devaughn Vele,DEN,WR131,397.0
Devin Culp,TB,TE119,683.0
Devin Duvernay,CHI,WR219,581.0
Devin Leary,BAL,QB103,665.0
Devin Neal,NO,RB83,333.3
Devin Singletary,NYG,RB95,252.0
Devontez Walker,BAL,WR144,500.5
Dez Fitzpatrick,LAC,WR227,599.0
Dillon Gabriel,CLE,QB93,531.0
Diontae Johnson,CLE,WR96,283.5
