
Player,Team,Pos,ADP
Michael Wilson,ARI,WR,291.5
Pat Bryant,DEN,WR,270.3
Darren Waller,MIA,TE,203.6
Chig Okonkwo,TEN,TE,211.0
Jonnu Smith,PIT,TE,115.6
Zach Ertz,WSH,TE,155.8
Texans D/ST,HOU,DST,144.2
Steelers D/ST,PIT,DST,129.0
Broncos D/ST,DEN,DST,115.0
Vikings D/ST,MIN,DST,149.2
Seahawks D/ST,SEA,DST,170.8
Ravens D/ST,BAL,DST,135.8
Patriots D/ST,NE,DST,204.0
Lions D/ST,DET,DST,176.2
Eagles D/ST,PHI,DST,119.2
Bills D/ST,BUF,DST,143.6
Colts D/ST,IND,DST,222.3
Jets D/ST,NYJ,DST,208.0
Jake Bates,DET,K,131.6
Chase McLaughlin,TB,K,148.0
Cameron Dicker,LAC,K,121.8
Brandon Aubrey,DAL,K,105.8
Jason Sanders,MIA,K,189.6
Tyler Bass,BUF,K,178.6
Jake Elliott,PHI,K,167.0
Chris Boswell,PIT,K,157.2
Harrison Butker,KC,K,169.8
Cairo Santos,CHI,K,200.0
Tyler Loop,BAL,K,202.5
Matt Gay,WSH,K,191.0
Christian Kirk,HOU,WR,169.6
Keenan Allen,FA,WR,251.8
Justice Hill,BAL,RB,217.8
Kareem Hunt,KC,RB,196.6
Romeo Doubs,GB,WR,214.4
Trevor Lawrence,JAX,QB,169.8
Cameron Ward,TEN,QB,178.0
Michael Penix Jr.,ATL,QB,181.6
Tyler Lockett,TEN,WR,228.3
DeMario Douglas,NE,WR,207.5
Nick Westbrook-Ikhine,MIA,WR,310.0
Joshua Palmer,BUF,WR,220.3
Diontae Johnson,CLE,WR,284.0
Elijah Arroyo,SEA,TE,223.0
Mike Gesicki,CIN,TE,205.3
Brandin Cooks,NO,WR,301.0
Darius Slayton,NYG,WR,286.5
DeAndre Hopkins,BAL,WR,186.3
Dont'e Thornton Jr.,LV,WR,230.7
Blake Corum,LAR,RB,219.5
Zack Moss,FA,RB,209.5
Nick Chubb,HOU,RB,151.2
Brenton Strange,JAX,TE,198.6
Cade Otton,TB,TE,204.0
Mason Taylor,NYJ,TE,231.0
Bryce Young,CAR,QB,188.3
Geno Smith,LV,QB,213.0
Anthony Richardson Sr.,IND,QB,209.2
Woody Marks,HOU,RB,261.8
Kendre Miller,NO,RB,274.8
Rico Dowdle,CAR,RB,178.3
Adonai Mitchell,IND,WR,324.5
Raheem Mostert,LV,RB,221.5
Miles Sanders,DAL,RB,221.0
Amari Cooper,FA,WR,356.0
Dyami Brown,JAX,WR,281.0
Tutu Atwell,LAR,WR,296.5
Calvin Austin III,PIT,WR,236.7
Christian Watson,GB,WR,299.5
Giants D/ST,NYG,DST,209.3
Buccaneers D/ST,TB,DST,193.5
Ka'imi Fairbairn,HOU,K,160.8
Joshua Karty,LAR,K,231.7
DJ Giddens,IND,RB,230.3
Trevor Etienne,CAR,RB,256.3
Jarquez Hunter,LAR,RB,255.5
Sincere McCormick,LV,RB,381.0
Antonio Gibson,NE,RB,276.0
Jaleel McLaughlin,DEN,RB,233.5
Devin Singletary,NYG,RB,257.0
Ty Johnson,BUF,RB,334.0
Elijah Mitchell,KC,RB,239.0
Kenneth Gainwell,PIT,RB,282.0
Ollie Gordon II,MIA,RB,274.0
Sean Tucker,TB,RB,267.5
Clyde Edwards-Helaire,NO,RB,375.0
Noah Brown,WSH,WR,351.0
Jalen Coker,CAR,WR,296.5
Cardinals D/ST,ARI,DST,204.8
Packers D/ST,GB,DST,202.6
Brandon McManus,GB,K,211.0
Evan McPherson,CIN,K,203.4
Isaiah Likely,BAL,TE,168.0
Dalton Schultz,HOU,TE,229.3
Pat Freiermuth,PIT,TE,200.8
Allen Lazard,NYJ,WR,309.0
Alec Pierce,IND,WR,231.3
KaVontae Turpin,DAL,WR,253.5
Andrei Iosivas,CIN,WR,258.3
Keaton Mitchell,BAL,RB,309.5
Kyle Juszczyk,SF,RB,238.0
Sam Darnold,SEA,QB,207.8
Aaron Rodgers,PIT,QB,205.5
Russell Wilson,NYG,QB,241.0
Tyler Shough,NO,QB,289.5
Jalen Tolbert,DAL,WR,273.0
Jaylin Noel,HOU,WR,281.7
Tre Tucker,LV,WR,285.0
Van Jefferson,TEN,WR,407.0
Greg Dortch,ARI,WR,372.0
Kyle Monangai,CHI,RB,248.7
Samaje Perine,CIN,RB,243.0
Devin Neal,NO,RB,322.3
Jordan James,SF,RB,298.0
Jordan Whittington,LAR,WR,341.5
Chiefs D/ST,KC,DST,181.8
Bears D/ST,CHI,DST,184.3
Jason Myers,SEA,K,208.0
Wil Lutz,DEN,K,192.4
Tyler Higbee,LAR,TE,269.0
Theo Johnson,NYG,TE,342.0
Juwan Johnson,NO,TE,268.5
Ja'Tavion Sanders,CAR,TE,270.3
Tyler Conklin,LAC,TE,284.5
Marquez Valdes-Scantling,SEA,WR,297.0
Daniel Jones,IND,QB,309.5
Rams D/ST,LAR,DST,214.3
49ers D/ST,SF,DST,170.6
Dolphins D/ST,MIA,DST,246.3
Chargers D/ST,LAC,DST,217.0
Jaxson Dart,NYG,QB,239.0
Brashard Smith,KC,RB,264.0
